audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_mean,numberCorrect_raw,order
audio/NV_DE_Neural2-F_Ti-we-Zw_0.6p.wav,4.9644,NV,Neural2-F,Ti-we-Zw,Ti,we,Zw,0.6p,100,101,114,124,132,DE_Neural2-F_Ti-we-Zw.TextGrid,0.15712,4.251073725,0.736936523,1.185798208,2.250046777,2.635486781,3.850576578,4.251073725,mean,6,NV1,1.0,0.0,False,0.0,False,call3,1,1,0,0,0,0,1.9292692999879364,2.246327899978496,-0.2833333333333333,-0.36944444444444446,-0.14305555555555555,-0.12083333333333333,colour3,1,0,0,2.7263044999854174,0.001388888888888889,-0.12777777777777777,number3,1,0,0,3.243458199984161,0.35208333333333336,-0.10347222222222222,0.0,False,0.0
audio/NV_DE_Neural2-F_Ti-ro-Vi_0.6p.wav,4.9809,NV,Neural2-F,Ti-ro-Vi,Ti,ro,Vi,0.6p,100,101,114,123,134,DE_Neural2-F_Ti-ro-Vi.TextGrid,0.15712,4.240111505,0.742014466,1.202796342,2.24427585,2.61712,3.798685733,4.240111505,mean,15,NV1,1.0,0.0,False,0.0,False,call3,1,0,0,1.823765100009041,-0.3770833333333333,-0.08333333333333333,colour4,1,0,0,2.3746921999845654,-0.007638888888888889,-0.31805555555555554,number2,1,0,0,2.9579954000073485,0.39305555555555555,0.07569444444444444,0.0,False,1.0
audio/NV_DE_Neural2-F_Ti-we-Zw_0.4p.wav,4.9644,NV,Neural2-F,Ti-we-Zw,Ti,we,Zw,0.4p,100,101,114,124,132,DE_Neural2-F_Ti-we-Zw.TextGrid,0.15712,4.251073725,0.736936523,1.185798208,2.250046777,2.635486781,3.850576578,4.251073725,mean,11,NV1,1.0,0.0,False,0.0,False,call2,1,0,0,2.7387749000045005,-0.34652777777777777,0.09027777777777778,colour3,1,0,0,3.122566399979405,-0.019444444444444445,-0.05138888888888889,number3,1,0,0,3.556364799995208,0.4888888888888889,-0.1361111111111111,0.0,False,2.0
audio/NV_DE_Neural2-F_Ti-we-Ei_0.4p.wav,5.17,NV,Neural2-F,Ti-we-Ei,Ti,we,Ei,0.4p,100,101,114,124,131,DE_Neural2-F_Ti-we-Ei.TextGrid,0.16712,4.397751834,0.748372449,1.211121342,2.273210779,2.65712,3.814260642,4.397751834,mean,13,NV1,1.0,0.0,False,0.0,False,call3,1,0,0,2.773822699993616,-0.35208333333333336,-0.07291666666666667,colour3,1,0,0,3.2912279999873135,-0.05,-0.14652777777777778,number4,1,1,0,0,0,0,3.691884600004414,4.024792799988063,0.3972222222222222,0.3784722222222222,-0.20277777777777778,-0.2763888888888889,0.0,False,3.0
audio/NV_DE_Neural2-F_Ti-we-Vi_0.2p.wav,5.0131,NV,Neural2-F,Ti-we-Vi,Ti,we,Vi,0.2p,100,101,114,124,134,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.756722876,1.206075973,2.298297352,2.675880623,3.839401967,4.26712,mean,3,NV1,1.0,1.0,True,0.0,False,call4,1,0,0,1.974347100011073,-0.36736111111111114,-0.29930555555555555,colour2,1,0,0,2.391243400023086,-0.01875,0.06805555555555555,number4,1,0,0,2.9580983000050765,0.33194444444444443,-0.2902777777777778,1.0,True,4.0
audio/NV_DE_Neural2-F_Ti-ro-Dr_0.2p.wav,4.843,NV,Neural2-F,Ti-ro-Dr,Ti,ro,Dr,0.2p,100,101,114,123,133,DE_Neural2-F_Ti-ro-Dr.TextGrid,0.17712,4.104053164,0.713933637,1.190906295,2.225340481,2.58712,3.777040553,4.104053164,mean,4,NV1,1.0,1.0,True,0.0,False,call4,1,0,0,1.6227226000046358,-0.4,-0.29305555555555557,colour4,1,0,0,1.9559109999972861,0.009027777777777777,-0.31319444444444444,number3,1,0,0,2.3067214000038803,0.35833333333333334,-0.15694444444444444,1.0,True,5.0

extraInfo
participant,Practice
order,1
date,2023-06-01_15h57.58.293
expName,SentenceInNoise Practice trials
psychopyVersion,2022.2.1
frameRate,60.22101110759156
﻿audiofile,duration,noise,voice,words,callSign,colour,number,levels,trigger_start,trigger_end,trigger_call,trigger_col,trigger_num,file,firstSound_tmin,lastSound_tmax,token_1_tmin,token_1_tmax,token_2_tmin,token_2_tmax,token_3_tmin,token_3_tmax,rater,newidx,block,n,callSignCorrect_mean,callSignCorrect_raw,colourCorrect_mean,colourCorrect_raw,mouseClickOnCall.clicked_name_raw,mouseClickOnCall.leftButton_raw,mouseClickOnCall.midButton_raw,mouseClickOnCall.rightButton_raw,mouseClickOnCall.time_raw,mouseClickOnCall.x_raw,mouseClickOnCall.y_raw,mouseClickOnColour.clicked_name_raw,mouseClickOnColour.leftButton_raw,mouseClickOnColour.midButton_raw,mouseClickOnColour.rightButton_raw,mouseClickOnColour.time_raw,mouseClickOnColour.x_raw,mouseClickOnColour.y_raw,mouseClickOnNumber.clicked_name_raw,mouseClickOnNumber.leftButton_raw,mouseClickOnNumber.midButton_raw,mouseClickOnNumber.rightButton_raw,mouseClickOnNumber.time_raw,mouseClickOnNumber.x_raw,mouseClickOnNumber.y_raw,numberCorrect_raw,order
audio/SiSSN_DE_Neural2-F_Ti-gr-Vi_-7db.wav,4.9453,SiSSN,Neural2-F,Ti-gr-Vi,Ti,gr,Vi,-7db,200,201,214,222,234,DE_Neural2-F_Ti-gr-Vi.TextGrid,0.15712,4.21537282,0.730902342,1.181941239,2.247700697,2.618617402,3.771287423,4.21537282,mean,4,SSN1,1.0,0.0,False,1.0,True,call1,1,0,0,3.3254343000007793,-0.41805555555555557,0.2826388888888889,colour2,1,0,0,4.2263991000072565,-0.04236111111111111,0.16041666666666668,number3,1,0,0,4.726562099996954,0.3104166666666667,-0.09722222222222222,False,0.0
audio/SiSSN_DE_Neural2-F_Ti-ge-Vi_-7db.wav,5.0115,SiSSN,Neural2-F,Ti-ge-Vi,Ti,ge,Vi,-7db,200,201,214,221,234,DE_Neural2-F_Ti-ge-Vi.TextGrid,0.15712,4.254373792,0.758691398,1.202936396,2.309178027,2.63712,3.834413192,4.254373792,mean,6,SSN1,1.0,1.0,True,0.0,False,call4,1,0,0,1.3814208999974653,-0.4083333333333333,-0.25763888888888886,colour3,1,1,0,0,0,0,1.7149333000124898,2.0655435000080615,-0.08680555555555555,-0.04791666666666667,-0.2048611111111111,-0.16805555555555557,number4,1,0,0,2.4157623999926727,0.4618055555555556,-0.2972222222222222,True,1.0
audio/SiSSN_DE_Neural2-F_Ti-we-Vi_-9db.wav,5.0131,SiSSN,Neural2-F,Ti-we-Vi,Ti,we,Vi,-9db,200,201,214,224,234,DE_Neural2-F_Ti-we-Vi.TextGrid,0.16712,4.26712,0.756722876,1.206075973,2.298297352,2.675880623,3.839401967,4.26712,mean,15,SSN1,1.0,1.0,True,0.0,False,call4,1,0,0,2.237895900005242,-0.4479166666666667,-0.3173611111111111,colour3,1,0,0,2.8550230999826454,-0.007638888888888889,-0.1486111111111111,number4,1,0,0,3.6557805000047665,0.4895833333333333,-0.28888888888888886,True,2.0
audio/SiSSN_DE_Neural2-F_Ti-we-Ei_-9db.wav,5.17,SiSSN,Neural2-F,Ti-we-Ei,Ti,we,Ei,-9db,200,201,214,224,231,DE_Neural2-F_Ti-we-Ei.TextGrid,0.16712,4.397751834,0.748372449,1.211121342,2.273210779,2.65712,3.814260642,4.397751834,mean,4,SSN1,1.0,1.0,True,1.0,True,call4,1,0,0,2.0734648999932688,-0.3819444444444444,-0.3298611111111111,colour4,1,0,0,2.607349800004158,-0.08541666666666667,-0.33194444444444443,number4,1,1,0,0,0,0,3.491232000000309,4.008352700009709,0.22430555555555556,0.31180555555555556,-0.2923611111111111,-0.27708333333333335,False,3.0
audio/SiSSN_DE_Neural2-F_Ti-we-Dr_-11db.wav,4.9342,SiSSN,Neural2-F,Ti-we-Dr,Ti,we,Dr,-11db,200,201,214,224,233,DE_Neural2-F_Ti-we-Dr.TextGrid,0.15712,4.178990955,0.751623296,1.20285526,2.299513213,2.667991468,3.845472232,4.178990955,mean,6,SSN1,1.0,0.0,False,0.0,False,call3,1,1,1,0,0,0,0,0,0,5.461021900002379,6.0782883999927435,7.396103100007167,-0.4930555555555556,0.041666666666666664,-0.3138888888888889,-0.15902777777777777,-0.1111111111111111,-0.12291666666666666,colour3,1,0,0,8.814064300007885,-0.049305555555555554,-0.09652777777777778,'NO_ANSW',4.0
audio/SiSSN_DE_Neural2-F_Ti-ro-Zw_-11db.wav,4.9,SiSSN,Neural2-F,Ti-ro-Zw,Ti,ro,Zw,-11db,200,201,214,223,232,DE_Neural2-F_Ti-ro-Zw.TextGrid,0.17712,4.174076065,0.714048601,1.203864908,2.225970755,2.57712,3.774535683,4.174076065,mean,15,SSN1,1.0,1.0,True,0.0,False,call4,1,0,0,2.0395721000095364,-0.3638888888888889,-0.2534722222222222,colour4,1,1,0,0,0,0,2.5563141999882646,3.0902516999922227,0.09513888888888888,0.04722222222222222,-0.31180555555555556,-0.3229166666666667,number4,1,0,0,3.774323799996637,0.35,-0.30833333333333335,False,5.0

extraInfo
participant,Practice
order,1
date,2023-06-01_15h57.58.293
expName,SentenceInNoise Practice trials
psychopyVersion,2022.2.1
frameRate,60.22101110759156
